message,emotion
"Shannon Devery with Digital Financial Group has been an ASCCA partner for over ten years, and many of us consider her a close friend. Shannon has had a challenging year, to say the least. Her house was damaged when a monsoon hit during a re-roofing project. Her Mom passed away. More recently, she has received a cancer diagnosis and will undergo a complicated surgery on 9/28/2022.

Shannon needs our support! Her medical bills are already mounting, and her battle is just beginning. In addition to the medical expenses, she pays out of pocket for necessary expensive holistic therapy as part of her overall treatment plan.

Please donate to help ease this burden and allow her to focus on her recovery.",sadness
"Hi my name is Charles! Iâm fundraising to help save, our beagle, Nalaâs life. She is currently in need of a IVDD related back surgery. If not unfortunately we will be forced to humanely euthanize her. The kids will be crushed but itâs just a surgery we can not afford. We love her so much and have spent so much money on her diagnosis and many treatments that we are completely tapped on funds. Anything will help but we ultimately have a range of $5,000-$7,500 for the complete surgery. I absolutely hate that it has come to this but Iâm hoping for the best from anyone with a kind heart. We have applied for multiple financial add options and have not yet received any assistance. Thank you for reading and most importantly your donations.",anger
"Mom has Dementia. She is only 68 years old with no significant health problems otherwise. It happened abruptly. The small early signs were unnoticed by most people. Last month everything changed. Mom was no longer able to take care of things. She started to get lost while driving. Over the next few weeks, significant changes were happening quickly. We have been in and out of the Doctors offices and hospitals weekly. At this point mom is no longer able to stay at her home alone. The funds need to stay at an assisted living facility are $5000 a month. She had to go into one because we didnât have everything in place to bring her home. Itâs a really big surprise to everyone. Mom had to be discharged from the hospital into a safe environment. Mom had became a flight risk. We need some assistance to keep mom safe and in a protected environment. We still have a long way to go. Thank you for giving.",surprise
"Hey yâall!! Iâm Bailey! Iâm putting this up to help my second mom fight her breast cancer. She is a single mom of a 12 year old boy who loves to play football. Jessica is one of the hardest workers Iâve ever met. Sheâs the most caring and loving human being. Breast cancer is not in her family so when she was diagnosed it was a total surprise. Her next surgery will put her out of work for 8 weeks. This is to help her keep a roof over her and her sons head and keep them fed and healthy. And of course bills but those are no fun to talk about. Anyways, anything helps! Thank you for reading and sharing her story! We are so grateful for you allâ¤ï¸",surprise
"My name is Derek Jambon. I am making this account for my girlfriend Ashley Willie.
 
Ashley is a student in the Occupational Therapy Assistant Program at Delgado Community Colllege, and in early August Ashley was diagnosed with Stage 3 breast cancer weeks before school began. This is where her long road ahead began.  She has been doing well along her journey. Her determination continues to surprise me and makes me proud that she is continuing school while having her Chemo treatments.

While we do not want to ask for help, insurance covers portions of her treatments but a lot is still left for Ashley to pay.  She is facing surgery, radiation and an additional Surgery in the coming months.   Without income itâs making it difficult to cover those expenses along with insurance and normal monthly expenses. Any money donations raised will be strictly used for medical expenses. Helping us at this time would mean the world to our families and us. We are so thankful for everything everyone has done for us so far.   We appreciate anyway you can help us, being donations or prayers.",surprise
"Hi Iâm haylee and in the picture is a ten month old black lab who is perfect for my best friend annika she suffers from dysautonomia, depression, anxiety, ADHD, and what we think is functional neurological disorder, which causes things like seizures and Mobility problems. Annika has found the perfect dog to be her service dog in training after months of searching. This dog would be life changing, Annika lives alone so the risk of her having a seizure and hurting herself is massive, and scares the people that care about her everyday. This dog would give her freedom and independence that she has been lacking in recent months because of her conditions. Annika is an absolute light in the world she works in a school helping kids everyday, and she is always there when her loved ones need her so please help us get her this life changing medical equipment. So that her light may continue to shine! The dog is $3,500 so the rest of the $500 that make up the $4,000 would go directly to things like gear, food, a kennel, and toys to welcome him home!",fear
"We are starting this fundraiser so that everyone has a place to donate to raise funds for our dear friend Marie Nicole Durkin. Marie was diagnosed with pancreatic cancer this past year, has undergone major surgery, and is presently receiving cancer treatments. Marie lives in Voorheesville, New York, with her partner Chris and their two beautiful children, Brooks and Maeve. We're starting this campaign so Marie's loved ones can have a place during the holiday season and beyond to help donate funds to support her and her family during this difficult time. Marie has always been the life of the party and one of the best friends anyone could hope to have. She wouldn't hesitate to stop everything from helping a friend in need. Whether jumping on a plane or driving hundreds of miles, she has always been there for the people she loves. Please join us in any way possible, big or small, to show our love and support for Marie during this time of need. All donations will go directly into Marie's account. We truly appreciate all of your help and generosity. Love The Martones",love
"On January 22nd, our family learned that our sweet 3 year old niece, Evelyn,  has been diagnosed with Stage 4 Metastatic High Risk Neuroblastoma. Neuroblastoma is a rare pediatric cancer that develops in a part of the peripheral nervous system called the sympathetic nervous system. After not feeling well , she was admitted to the hospital for fluids to treat what we thought to be a typical stomach virus. We then received the devastating news that these mild symptoms were actually the result of this rare pediatric cancer.  She went from feeling healthy, happy and playing outside to gearing up for her first round of chemotherapy within 2 weeks.  This news has come as a total shock for everyone and has completely turned our worlds upside down, especially for her parents, Coco and TJ. Evelyn has now been transferred to UF Health Shands in Gainesville, FL and has begun her first of many rounds of chemotherapy, followed by numerous other treatments. This will be a long road for Evelyn and her parents, so any amount that you can give to help relieve the burden of financial worries would be greatly appreciated, as no one should have to worry about money during a time like this. All donations will go directly to Coco and TJ to help offset the costs of medical bills, travel, relocating, and any other costs associated with her treatment. Please keep Evelyn, Coco and TJ in your thoughts and prayers during this time.",surprise
"Hello everyone. I am raising funds to assist in my battle against Multiple Myeloma cancer.

I was diagnosed with cancer in June of 2022. At the time of this diagnosis I was living in Anguilla. I had recently quit my full-time job to start a handmade bagmaking business. The news of this diagnosis was shocking and devastating to both my family and I having just dealt with the recent passing of our mom.

I have relied heavily on the support (financial and emotional) of my immediate and extended family. I am forever grateful and indebted to everyone who supported and continue to support me.

My life as I knew it prior to my June diagnosis has dramatically changed. My start-up business had to be put on hold.  I also had to temporarily move to the United States for cancer treatment.  My frequent treatments, living in a new country and follow-up visits to doctors does not allow me to work.

It would mean the world to me for any financial contribution you can provide. Your generosity will assist in covering medical expenses directly related to my treatment and recovery. This will give me the opportunity to focus my energy on fighting and beating this cancer.

Thanks.",surprise
"Hello, my name is Andy, Samantha's husband. A couple of weeks ago, after a late-night trip to Enloe Hospital due to multiple seizures, Samantha was diagnosed with a large glioma, a tumor located in the left side of her brain. We were immediately referred to U.C. San Francisco. The doctor decided that surgery sooner than later was necessary. Last week we went for more testing and pre-op work, and on Tuesday, the doctor performed a 6-hour surgery to remove the tumor. She is now resting comfortably at home, and will soon start physical therapy. Please keep Samantha in your thoughts and prayers during the recovery process.
We are hoping for some help with our very large unexpected medical bills and travel expenses during our UC San Francisco visit.",optimism
